2021-02-06 11:47:42,910 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:47,911 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:52,914 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:47:57,920 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:48:02,925 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:48:07,930 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:48:12,935 - INFO - {'key2': '1', 'key1': '1.19', 'key3': 'localhost:9090'}
2021-02-06 11:57:27,013 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:57:32,018 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:57:37,020 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:57:42,025 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:57:47,029 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:57:52,030 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:57:57,036 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:02,040 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:07,046 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:12,050 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:17,055 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:22,060 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:27,062 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:32,067 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:37,072 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:42,077 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:47,083 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:52,087 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:58:57,089 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:59:02,090 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 11:59:07,094 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:00:15,694 - INFO - {'key3': 'localhost:9090', 'key1': '1.19', 'key2': '1'}
2021-02-06 12:00:20,699 - INFO - {'key3': 'localhost:9090', 'key1': '1.19', 'key2': '1'}
2021-02-06 12:00:25,705 - INFO - {'key3': 'localhost:9090', 'key1': '1.19', 'key2': '1'}
2021-02-06 12:00:30,710 - INFO - {'key3': 'localhost:9090', 'key1': '1.19', 'key2': '1'}
2021-02-06 12:00:35,710 - INFO - {'key3': 'localhost:9090', 'key1': '1.19', 'key2': '1'}
2021-02-06 12:00:40,715 - INFO - {'key3': 'localhost:9090', 'key1': '1.19', 'key2': '1'}
2021-02-06 12:00:45,719 - INFO - {'key3': 'localhost:9090', 'key1': '1.19', 'key2': '1'}
2021-02-06 12:07:20,380 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:07:25,385 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:07:30,390 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:07:35,390 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:07:40,395 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:07:45,400 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:07:50,404 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:07:55,410 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:00,412 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:05,415 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:10,420 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:15,422 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:20,427 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:25,430 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:30,434 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:35,440 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:40,445 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:45,450 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:50,455 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:08:55,460 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:00,465 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:05,470 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:10,471 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:15,477 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:20,480 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:25,483 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:30,488 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:35,490 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:36,329 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:09:40,496 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:41,333 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:09:45,501 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:46,339 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:09:50,505 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:51,344 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:09:55,510 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:09:56,347 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:10:00,510 - INFO - {'key1': '1.19', 'key2': '1', 'key3': 'localhost:9090'}
2021-02-06 12:10:01,350 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
2021-02-06 12:10:06,356 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.19'}
