2021-02-05 16:32:32,674 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:33,059 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:37,678 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:38,064 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:42,679 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:43,067 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:47,685 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:48,073 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:52,689 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:53,076 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:57,690 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:32:58,081 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:02,695 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:03,086 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:07,697 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:08,087 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:12,699 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:13,092 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:17,702 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:18,094 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:22,707 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:23,099 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:27,710 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:28,104 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:32,710 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:33,105 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:37,711 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:38,110 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:42,715 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:43,114 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:47,716 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:48,119 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:52,718 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:53,122 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:57,723 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:33:58,127 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:02,727 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:03,132 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:07,730 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:08,136 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:12,735 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:13,136 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:17,736 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:18,137 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:22,738 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:23,142 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:27,743 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:28,147 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:32,744 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:33,150 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:37,746 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:38,155 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:42,748 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:43,156 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:47,751 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:48,159 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:52,752 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:53,160 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:57,757 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:34:58,164 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:35:02,763 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:35:03,167 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:35:07,766 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
2021-02-05 16:35:08,170 - INFO - {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
